species_index,code_alpha,sdi_max_default
1,RC,354.0
2,JU,354.0
3,SP,490.0
4,VP,499.0
5,LP,480.0
6,OS,354.0
7,WP,529.0
8,WN,283.0
9,BN,283.0
10,TL,430.0
11,TS,704.0
12,WT,726.0
13,BG,430.0
14,,302.0
15,SH,302.0
16,SL,302.0
17,MH,230.0
18,PH,276.0
19,HI,302.0
20,WH,301.0
21,BH,301.0
22,PE,338.0
23,BI,289.0
24,AB,364.0
25,BA,423.0
26,PA,408.0
27,UA,408.0
28,EC,648.0
29,RM,421.0
30,BE,344.0
31,SV,590.0
32,BC,384.0
33,AE,282.0
34,SG,339.0
35,HK,420.0
36,WE,263.0
37,EL,282.0
38,SI,282.0
39,RL,227.0
40,RE,282.0
41,YP,478.0
42,BW,526.0
43,SM,371.0
44,AS,414.0
45,WA,408.0
46,GA,414.0
47,WO,361.0
48,RO,414.0
49,SK,342.0
50,BO,370.0
51,SO,315.0
52,BJ,326.0
53,CK,336.0
54,SW,361.0
55,BR,423.0
56,SN,417.0
57,PO,311.0
58,DO,311.0
59,CO,417.0
60,PN,455.0
61,CB,405.0
62,QI,370.0
63,OV,384.0
64,WK,365.0
65,NK,342.0
66,WL,315.0
67,QS,342.0
68,,492.0
69,SS,492.0
70,OB,371.0
71,CA,492.0
72,PS,147.0
73,HL,338.0
74,BP,384.0
75,BT,520.0
76,QA,562.0
77,BK,343.0
78,,499.0
79,SY,499.0
80,BY,692.0
81,RB,400.0
82,SU,430.0
83,WI,447.0
84,BL,447.0
85,OH,257.0
86,AH,375.0
87,RD,422.0
88,DW,257.0
89,HT,463.0
90,KC,343.0
91,OO,404.0
92,CT,415.0
93,MV,492.0
94,MB,277.0
95,HH,304.0
96,SD,164.0
