species_index,code_alpha,crown_bcr1,crown_bcr2,crown_bcr3,crown_bcr4
1,RC,4.0862089,0.0095532,4.2295403,0.6553929
2,JU,4.0862089,0.0095532,4.2295403,0.6553929
3,SP,3.8228678,0.0155476,3.6701435,0.0930725
4,VP,3.8228678,0.0155476,3.6701435,0.0930725
5,LP,3.8228678,0.0155476,3.6701435,0.0930725
6,OS,3.8228678,0.0155476,3.6701435,0.0930725
7,WP,3.8228678,0.0155476,3.6701435,0.0930725
8,WN,5.3257794,0.0058785,187.86445,0.0003241
9,BN,5.3257794,0.0058785,187.86445,0.0003241
10,TL,3.5959606,0.0241366,3.3784606,0.5607258
11,TS,3.5959606,0.0241366,3.3784606,0.5607258
12,WT,3.5959606,0.0241366,3.3784606,0.5607258
13,BG,3.5959606,0.0241366,3.3784606,0.5607258
14,,4.0006783,0.0131603,3.2410676,1.0553702
15,SH,4.0006783,0.0131603,3.2410676,1.0553702
16,SL,4.0006783,0.0131603,3.2410676,1.0553702
17,MH,4.0006783,0.0131603,3.2410676,1.0553702
18,PH,4.0006783,0.0131603,3.2410676,1.0553702
19,HI,4.0006783,0.0131603,3.2410676,1.0553702
20,WH,4.0006783,0.0131603,3.2410676,1.0553702
21,BH,4.0006783,0.0131603,3.2410676,1.0553702
22,PE,4.0006783,0.0131603,3.2410676,1.0553702
23,BI,4.0006783,0.0131603,3.2410676,1.0553702
24,AB,3.7331997,0.0040149,3.6320568,0.0412417
25,BA,4.741949,0.0747918,3.3270486,0.8710564
26,PA,4.741949,0.0747918,3.3270486,0.8710564
27,UA,4.741949,0.0747918,3.3270486,0.8710564
28,EC,4.5859519,0.004527,4.2754048,0.0194338
29,RM,4.7334243,0.0051454,1.5490425,0.1920458
30,BE,4.7334243,0.0051454,1.5490425,0.1920458
31,SV,4.7334243,0.0051454,1.5490425,0.1920458
32,BC,3.7331997,0.0040149,3.6320568,0.0412417
33,AE,4.2114308,0.0005698,2.4916599,0.0265754
34,SG,4.2114308,0.0005698,2.4916599,0.0265754
35,HK,4.2114308,0.0005698,2.4916599,0.0265754
36,WE,4.2114308,0.0005698,2.4916599,0.0265754
37,EL,4.2114308,0.0005698,2.4916599,0.0265754
38,SI,4.2114308,0.0005698,2.4916599,0.0265754
39,RL,4.2114308,0.0005698,2.4916599,0.0265754
40,RE,4.2114308,0.0005698,2.4916599,0.0265754
41,YP,3.7331997,0.0040149,3.6320568,0.0412417
42,BW,3.7331997,0.0040149,3.6320568,0.0412417
43,SM,4.5227706,0.0048821,2.3242952,0.2289338
44,AS,4.741949,0.0747918,3.3270486,0.8710564
45,WA,4.741949,0.0747918,3.3270486,0.8710564
46,GA,4.741949,0.0747918,3.3270486,0.8710564
47,WO,4.6206732,0.0041936,2.627181,0.168365
48,RO,4.694145,0.0057222,2.0464785,0.2326244
49,SK,4.694145,0.0057222,2.0464785,0.2326244
50,BO,5.6002061,0.0072432,1.7133082,0.1663135
51,SO,4.1572614,0.0105238,2.6184562,0.4623206
52,BJ,3.6371464,0.0095654,3.058426,0.6047697
53,CK,4.1897395,0.0089826,3.3907386,0.1566281
54,SW,4.1897395,0.0089826,3.3907386,0.1566281
55,BR,4.1897395,0.0089826,3.3907386,0.1566281
56,SN,4.1897395,0.0089826,3.3907386,0.1566281
57,PO,3.6935554,0.0038755,2.7331608,0.233914
58,DO,3.6935554,0.0038755,2.7331608,0.233914
59,CO,5.8825245,0.0082427,332.98337,0.0002192
60,PN,1.9729133,0.0374138,5.3149546,1.0758145
61,CB,1.9729133,0.0374138,5.3149546,1.0758145
62,QI,1.9729133,0.0374138,5.3149546,1.0758145
63,OV,1.9729133,0.0374138,5.3149546,1.0758145
64,WK,1.9729133,0.0374138,5.3149546,1.0758145
65,NK,1.9729133,0.0374138,5.3149546,1.0758145
66,WL,1.9729133,0.0374138,5.3149546,1.0758145
67,QS,1.9729133,0.0374138,5.3149546,1.0758145
68,,3.7331997,0.0040149,3.6320568,0.0412417
69,SS,3.7331997,0.0040149,3.6320568,0.0412417
70,OB,3.7331997,0.0040149,3.6320568,0.0412417
71,CA,3.7331997,0.0040149,3.6320568,0.0412417
72,PS,3.7331997,0.0040149,3.6320568,0.0412417
73,HL,3.7331997,0.0040149,3.6320568,0.0412417
74,BP,3.7331997,0.0040149,3.6320568,0.0412417
75,BT,3.7331997,0.0040149,3.6320568,0.0412417
76,QA,3.7331997,0.0040149,3.6320568,0.0412417
77,BK,3.7331997,0.0040149,3.6320568,0.0412417
78,,4.5859519,0.004527,4.2754048,0.0194338
79,SY,4.5859519,0.004527,4.2754048,0.0194338
80,BY,4.5859519,0.004527,4.2754048,0.0194338
81,RB,4.5859519,0.004527,4.2754048,0.0194338
82,SU,4.5859519,0.004527,4.2754048,0.0194338
83,WI,4.5859519,0.004527,4.2754048,0.0194338
84,BL,4.5859519,0.004527,4.2754048,0.0194338
85,OH,4.3509789,0.0015389,110.67094,0.0015353
86,AH,4.3509789,0.0015389,110.67094,0.0015353
87,RD,4.3509789,0.0015389,110.67094,0.0015353
88,DW,4.3509789,0.0015389,110.67094,0.0015353
89,HT,4.3509789,0.0015389,110.67094,0.0015353
90,KC,4.3509789,0.0015389,110.67094,0.0015353
91,OO,4.3509789,0.0015389,110.67094,0.0015353
92,CT,4.3509789,0.0015389,110.67094,0.0015353
93,MV,4.3509789,0.0015389,110.67094,0.0015353
94,MB,4.3509789,0.0015389,110.67094,0.0015353
95,HH,4.3509789,0.0015389,110.67094,0.0015353
96,SD,4.3509789,0.0015389,110.67094,0.0015353
