species_index,dg_interc,dg_vdbh,dg_dbh,dg_dbh2,dg_rdbh,dg_rdbhsq,dg_crwn,dg_crsq,dg_sba,dg_bal,dg_site,dg_observ
1,3.0982,-8.5844,0.0,0.0,0.0,0.0,0.01628,0.0,-0.00386,0.0,0.0,4111.0
2,3.0982,-8.5844,0.0,0.0,0.0,0.0,0.01628,0.0,-0.00386,0.0,0.0,4111.0
3,0.64882,0.0,0.0,0.01234,2.87386,-0.20916,0.02252,0.0,-0.00162,-0.00318,0.0,2864.0
4,2.7633,-10.45,0.0,0.0,0.0,0.0,0.05754,-0.00041,-0.00324,0.0,0.0,216.0
5,2.7633,-10.45,0.0,0.0,0.0,0.0,0.05754,-0.00041,-0.00324,0.0,0.0,216.0
6,-0.7079,0.0,0.07533,0.0,2.12877,-0.05909,0.0659,-0.00046,0.0,0.0,0.0,283.0
7,-0.7079,0.0,0.07533,0.0,2.12877,-0.05909,0.0659,-0.00046,0.0,0.0,0.0,283.0
8,2.9591,-9.5199,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.00169,0.00356,2298.0
9,2.9591,-9.5199,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.00169,0.00356,2298.0
10,-0.28233,0.0,0.0,0.01581,3.37463,-0.26631,0.0165,0.0,0.0,0.0,0.0,677.0
11,-0.28233,0.0,0.0,0.01581,3.37463,-0.26631,0.0165,0.0,0.0,0.0,0.0,677.0
12,-0.28233,0.0,0.0,0.01581,3.37463,-0.26631,0.0165,0.0,0.0,0.0,0.0,677.0
13,-0.28233,0.0,0.0,0.01581,3.37463,-0.26631,0.0165,0.0,0.0,0.0,0.0,677.0
14,1.0827,-5.4695,0.12337,0.0,0.40029,-0.03136,0.02491,-0.00017,-0.0016,0.0,0.00543,3872.0
15,1.0827,-5.4695,0.12337,0.0,0.40029,-0.03136,0.02491,-0.00017,-0.0016,0.0,0.00543,3872.0
16,1.0827,-5.4695,0.12337,0.0,0.40029,-0.03136,0.02491,-0.00017,-0.0016,0.0,0.00543,3872.0
17,1.0827,-5.4695,0.12337,0.0,0.40029,-0.03136,0.02491,-0.00017,-0.0016,0.0,0.00543,3872.0
18,-0.64747,0.0,0.26917,-0.00342,0.48856,-0.03745,0.02673,-0.00021,-0.0023,0.0,0.00744,3980.0
19,-0.64747,0.0,0.26917,-0.00342,0.48856,-0.03745,0.02673,-0.00021,-0.0023,0.0,0.00744,3980.0
20,-0.64747,0.0,0.26917,-0.00342,0.48856,-0.03745,0.02673,-0.00021,-0.0023,0.0,0.00744,3980.0
21,-0.64747,0.0,0.26917,-0.00342,0.48856,-0.03745,0.02673,-0.00021,-0.0023,0.0,0.00744,3980.0
22,-0.64747,0.0,0.26917,-0.00342,0.48856,-0.03745,0.02673,-0.00021,-0.0023,0.0,0.00744,3980.0
23,-0.64747,0.0,0.26917,-0.00342,0.48856,-0.03745,0.02673,-0.00021,-0.0023,0.0,0.00744,3980.0
24,-0.07129,0.0,0.14458,0.0,1.8588,-0.08029,0.01373,0.0,0.0,0.0,0.0,326.0
25,0.89302,-14.167,0.0,0.0,0.0,0.0,0.1511,-0.00141,0.0,0.0,0.0,75.0
26,0.89302,-14.167,0.0,0.0,0.0,0.0,0.1511,-0.00141,0.0,0.0,0.0,75.0
27,0.89302,-14.167,0.0,0.0,0.0,0.0,0.1511,-0.00141,0.0,0.0,0.0,75.0
28,1.8151,0.0,0.09153,0.0,1.0209,-0.03235,0.0,0.00031,0.0,-0.00428,0.0,416.0
29,2.2302,-6.9962,0.11324,-0.00186,0.0,0.0,0.03114,-0.00014,0.0,-0.00171,0.0,3300.0
30,2.2302,-6.9962,0.11324,-0.00186,0.0,0.0,0.03114,-0.00014,0.0,-0.00171,0.0,3300.0
31,2.2302,-6.9962,0.11324,-0.00186,0.0,0.0,0.03114,-0.00014,0.0,-0.00171,0.0,3300.0
32,3.2365,-10.268,0.0,0.0,0.0,0.0,0.02457,0.0,0.0,-0.0015,0.00235,1686.0
33,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,0.02814,-0.00011,-0.00439,0.00331,0.00447,5969.0
34,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,0.02814,-0.00011,-0.00439,0.00331,0.00447,5969.0
35,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,0.02814,-0.00011,-0.00439,0.00331,0.00447,5969.0
36,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,0.02814,-0.00011,-0.00439,0.00331,0.00447,5969.0
37,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,0.02814,-0.00011,-0.00439,0.00331,0.00447,5969.0
38,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,0.02814,-0.00011,-0.00439,0.00331,0.00447,5969.0
39,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,0.02814,-0.00011,-0.00439,0.00331,0.00447,5969.0
40,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,0.02814,-0.00011,-0.00439,0.00331,0.00447,5969.0
41,3.4264,-7.8659,0.057705,0.0,0.0,-0.019995,0.04625,-0.000227,0.0,-0.0052144,-0.00431,1113.0
42,3.7179,-8.9697,0.0,0.0,0.0,0.0,0.01517,0.0,0.0,-0.00278,0.0,576.0
43,2.9713,-10.115,0.0,0.0,0.0,0.0,0.02898,-0.00013,0.0,-0.00303,0.00383,2962.0
44,-0.29734,0.0,0.20494,0.0,1.0384,-0.08002,0.02569,0.0,0.0,-0.00195,0.00424,2958.0
45,-0.29734,0.0,0.20494,0.0,1.0384,-0.08002,0.02569,0.0,0.0,-0.00195,0.00424,2958.0
46,-0.29734,0.0,0.20494,0.0,1.0384,-0.08002,0.02569,0.0,0.0,-0.00195,0.00424,2958.0
47,1.0901,-3.6839,0.11623,0.0,0.70038,-0.04289,0.02757,-0.00021,0.0,-0.00302,0.00351,10044.0
48,0.02098,0.0,0.14061,0.0,1.2101,-0.05494,0.01366,0.0,0.0,0.0,0.00955,2370.0
49,0.02098,0.0,0.14061,0.0,1.2101,-0.05494,0.01366,0.0,0.0,0.0,0.00955,2370.0
50,1.897,-5.7203,0.0,0.00346,0.93903,-0.05092,0.03088,-0.00016,-0.00176,0.0,0.0054,6259.0
51,2.0352,-5.2884,0.0,0.0051307,1.1685,-0.071643,0.03738,-0.000312,0.0024,-0.0013941,0.0,1368.0
52,3.8678,-11.276,0.0,0.0,0.0,0.0,0.00904,0.0,-0.00537,0.0,0.0,580.0
53,0.93769,-5.1193,0.09743,0.0,0.47749,-0.02443,0.0114,0.0,0.0,-0.00092,0.0124,1818.0
54,0.93769,-5.1193,0.09743,0.0,0.47749,-0.02443,0.0114,0.0,0.0,-0.00092,0.0124,1818.0
55,0.93769,-5.1193,0.09743,0.0,0.47749,-0.02443,0.0114,0.0,0.0,-0.00092,0.0124,1818.0
56,0.93769,-5.1193,0.09743,0.0,0.47749,-0.02443,0.0114,0.0,0.0,-0.00092,0.0124,1818.0
57,1.3692,-5.0352,0.12165,0.0,0.0,-0.03038,0.01313,0.0,0.0,-0.00351,0.00915,5289.0
58,1.3692,-5.0352,0.12165,0.0,0.0,-0.03038,0.01313,0.0,0.0,-0.00351,0.00915,5289.0
59,-1.7361,0.0,0.26087,0.0,1.7666,-0.11006,0.01933,0.0,0.0,0.0,0.00774,213.0
60,3.985,-13.519,0.0,0.0,0.0,0.0,0.03135,-0.00019,0.0,-0.00233,0.0,1453.0
61,3.985,-13.519,0.0,0.0,0.0,0.0,0.03135,-0.00019,0.0,-0.00233,0.0,1453.0
62,3.985,-13.519,0.0,0.0,0.0,0.0,0.03135,-0.00019,0.0,-0.00233,0.0,1453.0
63,0.93769,-5.1193,0.09743,0.0,0.47749,-0.02443,0.0114,0.0,0.0,-0.00092,0.0124,1818.0
64,3.985,-13.519,0.0,0.0,0.0,0.0,0.03135,-0.00019,0.0,-0.00233,0.0,1453.0
65,3.985,-13.519,0.0,0.0,0.0,0.0,0.03135,-0.00019,0.0,-0.00233,0.0,1453.0
66,3.985,-13.519,0.0,0.0,0.0,0.0,0.03135,-0.00019,0.0,-0.00233,0.0,1453.0
67,3.985,-13.519,0.0,0.0,0.0,0.0,0.03135,-0.00019,0.0,-0.00233,0.0,1453.0
68,3.022,-13.627,0.0,0.0,0.0,0.0,0.04569,-0.00037,-0.00288,0.0,0.00766,982.0
69,3.3841,-10.282,0.0,0.0,0.0,0.0,0.03201,-0.00026,0.0,-0.0017,0.0,1028.0
70,3.022,-13.627,0.0,0.0,0.0,0.0,0.04569,-0.00037,-0.00288,0.0,0.00766,982.0
71,3.022,-13.627,0.0,0.0,0.0,0.0,0.04569,-0.00037,-0.00288,0.0,0.00766,982.0
72,3.022,-13.627,0.0,0.0,0.0,0.0,0.04569,-0.00037,-0.00288,0.0,0.00766,982.0
73,3.2162,-8.597,0.0,0.0,0.0,0.0,0.01869,0.0,0.0,-0.00261,0.00599,1035.0
74,3.022,-13.627,0.0,0.0,0.0,0.0,0.04569,-0.00037,-0.00288,0.0,0.00766,982.0
75,3.022,-13.627,0.0,0.0,0.0,0.0,0.04569,-0.00037,-0.00288,0.0,0.00766,982.0
76,3.022,-13.627,0.0,0.0,0.0,0.0,0.04569,-0.00037,-0.00288,0.0,0.00766,982.0
77,3.022,-13.627,0.0,0.0,0.0,0.0,0.04569,-0.00037,-0.00288,0.0,0.00766,982.0
78,3.8669,-8.87037,0.0,0.0,0.0,0.0,0.02034,0.0,0.0,-0.00535,0.0,1422.0
79,3.8669,-8.87037,0.0,0.0,0.0,0.0,0.02034,0.0,0.0,-0.00535,0.0,1422.0
80,3.8669,-8.87037,0.0,0.0,0.0,0.0,0.02034,0.0,0.0,-0.00535,0.0,1422.0
81,3.8669,-8.87037,0.0,0.0,0.0,0.0,0.02034,0.0,0.0,-0.00535,0.0,1422.0
82,3.8669,-8.87037,0.0,0.0,0.0,0.0,0.02034,0.0,0.0,-0.00535,0.0,1422.0
83,3.8669,-8.87037,0.0,0.0,0.0,0.0,0.02034,0.0,0.0,-0.00535,0.0,1422.0
84,3.8669,-8.87037,0.0,0.0,0.0,0.0,0.02034,0.0,0.0,-0.00535,0.0,1422.0
85,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
86,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
87,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
88,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
89,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
90,2.9591,-9.5199,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.00169,0.00356,2298.0
91,-0.18599,0.0,0.20178,0.0,0.54649,-0.04667,0.04276,-0.00024,-0.00704,0.00554,0.0,945.0
92,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
93,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
94,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
95,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
96,3.0308,-8.1059,0.0,0.0,0.0,0.0,0.00489,0.0,-0.00179,0.0,0.0,589.0
