species_index,bio_group
1,1
2,1
3,4
4,4
5,4
6,4
7,4
8,8
9,8
10,8
11,8
12,8
13,8
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,8
26,8
27,8
28,6
29,7
30,7
31,7
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,9
44,8
45,8
46,8
47,9
48,9
49,9
50,9
51,9
52,9
53,9
54,9
55,9
56,9
57,9
58,9
59,9
60,9
61,9
62,9
63,9
64,9
65,9
66,9
67,9
68,8
69,8
70,8
71,8
72,8
73,8
74,6
75,6
76,6
77,8
78,8
79,8
80,1
81,7
82,8
83,6
84,6
85,8
86,8
87,8
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
