species_index,code_alpha,code_fia,code_plants
1,RC,068,JUVI
2,JU,057,JUNIP
3,SP,110,PIEC2
4,VP,132,PIVI2
5,LP,131,PITA
6,OS,299,2TN
7,WP,129,PIST
8,WN,602,JUNI
9,BN,601,JUCI
10,TL,690,NYSSA
11,TS,694,NYBI
12,WT,691,NYAQ2
13,BG,693,NYSY
14,,,
15,SH,407,CAOV2
16,SL,405,CALA21
17,MH,409,CAAL27
18,PH,403,CAGL8
19,HI,400,CARYA
20,WH,401,CAAQ2
21,BH,402,CACO15
22,PE,404,CAIL2
23,BI,408,CATE9
24,AB,531,FAGR
25,BA,543,FRNI
26,PA,545,FRPR
27,UA,546,FRQU
28,EC,742,PODE3
29,RM,316,ACRU
30,BE,313,ACNE2
31,SV,317,ACSA2
32,BC,762,PRSE2
33,AE,972,ULAM
34,SG,461,CELA
35,HK,462,CEOC
36,WE,971,ULAL
37,EL,970,ULMUS
38,SI,974,ULPU
39,RL,975,ULRU
40,RE,977,ULTH
41,YP,621,LITU
42,BW,951,TIAM
43,SM,318,ACSA3
44,AS,540,FRAXI
45,WA,541,FRAM2
46,GA,544,FRPE
47,WO,802,QUAL
48,RO,833,QURU
49,SK,812,QUFA
50,BO,837,QUVE
51,SO,806,QUCO2
52,BJ,824,QUMA3
53,CK,826,QUMU
54,SW,804,QUBI
55,BR,823,QUMA2
56,SN,825,QUMI
57,PO,835,QUST
58,DO,836,QUSI2
59,CO,832,QUPR2
60,PN,830,QUPA2
61,CB,813,QUPA5
62,QI,817,QUIM
63,OV,822,QULY
64,WK,827,QUNI
65,NK,828,QUNU
66,WL,831,QUPH
67,QS,834,QUSH
68,,,
69,SS,931,SAAL5
70,OB,331,AEGL
71,CA,450,CATAL
72,PS,521,DIVI5
73,HL,552,GLTR
74,BP,741,POBA2
75,BT,743,POGR4
76,QA,746,POTR5
77,BK,901,ROPS
78,,,
79,SY,731,PLOC
80,BY,221,TADI2
81,RB,373,BENI
82,SU,611,LIST2
83,WI,920,SALIX
84,BL,922,SANI
85,OH,998,2TB
86,AH,391,CACA18
87,RD,471,CECA4
88,DW,491,COFL2
89,HT,500,CRATA
90,KC,571,GYDI
91,OO,641,MAPO
92,CT,651,MAAC
93,MV,653,MAVI2
94,MB,680,MORUS
95,HH,701,OSVI
96,SD,711,OXAR
