dib,factor
1,0.0
2,0.143
3,0.39
4,0.676
5,1.07
6,1.16
7,1.4
8,1.501
9,2.084
10,3.126
11,3.749
12,4.9
13,6.043
14,7.14
15,8.88
16,10.0
17,11.528
18,13.29
19,14.99
20,17.499
21,18.99
22,20.88
23,23.51
24,25.218
25,28.677
26,31.249
27,34.22
28,36.376
29,38.04
30,41.06
31,44.376
32,45.975
33,48.99
34,50.0
35,54.688
36,57.66
37,64.319
38,66.73
39,70.0
40,75.24
41,79.48
42,83.91
43,87.19
44,92.501
45,94.99
46,99.075
47,103.501
48,107.97
49,112.292
50,116.99
51,121.65
52,126.525
53,131.51
54,136.51
55,141.61
56,146.912
57,152.21
58,157.71
59,163.288
60,168.99
61,174.85
62,180.749
63,186.623
64,193.17
65,199.12
66,205.685
67,211.81
68,218.501
69,225.685
70,232.499
71,239.317
72,246.615
73,254.04
74,261.525
75,269.04
76,276.63
77,284.26
78,292.501
79,300.655
80,308.97
81,317.36
82,325.79
83,334.217
84,343.29
85,350.785
86,359.12
87,368.38
88,376.61
89,385.135
90,393.38
91,402.499
92,410.834
93,419.166
94,428.38
95,437.499
96,446.565
97,455.01
98,464.15
99,473.43
100,482.49
101,491.7
102,501.7
103,511.7
104,521.7
105,531.7
106,541.7
107,552.499
108,562.501
109,573.35
110,583.35
111,594.15
112,604.17
113,615.01
114,625.89
115,636.66
116,648.38
117,660.0
118,671.7
119,683.33
120,695.011
