species_index,dg_b1,dg_b2,dg_b3
1,0.0008829,0.0602785,0.012785
2,0.0009933,0.0816995,0.018831
3,0.0008721,0.057865,0.013427
4,0.0008236,0.0549439,0.011942
5,0.0008236,0.0549439,0.011942
6,0.0008236,0.0549439,0.011942
7,0.0008236,0.0549439,0.011942
8,0.0009252,0.1134195,0.0173
9,0.0011303,0.0934796,0.015496
10,0.0009252,0.1134195,0.0173
11,0.0006634,0.108347,0.016835
12,0.000905,0.0517297,0.012329
13,0.000905,0.0517297,0.012329
14,0.000905,0.0517297,0.012329
15,0.000905,0.0517297,0.012329
16,0.0008737,0.0940538,0.009149
17,0.0008737,0.0940538,0.009149
18,0.0006634,0.108347,0.016835
19,0.0006634,0.108347,0.016835
20,0.0006634,0.108347,0.016835
21,0.0006634,0.108347,0.016835
22,0.0006634,0.108347,0.016835
23,0.0006634,0.108347,0.016835
24,0.0006634,0.108347,0.016835
25,0.0006634,0.108347,0.016835
26,0.0007906,0.0651982,0.016191
27,0.0007439,0.0706905,0.01624
28,0.0007439,0.0706905,0.01624
29,0.0007439,0.0706905,0.01624
30,0.0006668,0.0768212,0.019046
31,0.0006668,0.0768212,0.019046
32,0.0006668,0.0768212,0.019046
33,0.0009766,0.0832328,0.023978
34,0.0009766,0.0832328,0.023978
35,0.0007993,0.0779654,0.015963
36,0.0007993,0.0779654,0.015963
37,0.0007993,0.0779654,0.015963
38,0.0007993,0.0779654,0.015963
39,0.0007993,0.0779654,0.015963
40,0.0006911,0.0730441,0.013029
41,0.0008992,0.0925395,0.015004
42,0.0008992,0.0925395,0.015004
43,0.0008992,0.0925395,0.015004
44,0.0008992,0.0925395,0.015004
45,0.0008992,0.0925395,0.015004
46,0.0008815,0.1419212,0.019904
47,0.0008815,0.1419212,0.019904
48,0.0008815,0.1419212,0.019904
49,0.0011885,0.092005,0.016877
50,0.0011885,0.092005,0.016877
51,0.0011885,0.092005,0.016877
52,0.0011885,0.092005,0.016877
53,0.0011885,0.092005,0.016877
54,0.0007929,0.1568904,0.016537
55,0.0007417,0.0867535,0.014235
56,0.0007417,0.0867535,0.014235
57,0.0007417,0.0867535,0.014235
58,0.0007417,0.0867535,0.014235
59,0.0007417,0.0867535,0.014235
60,0.0008769,0.0866621,0.01856
61,0.0008769,0.0866621,0.01856
62,0.0008769,0.0866621,0.01856
63,0.0008769,0.0866621,0.01856
64,0.0008238,0.079066,0.013762
65,0.0008238,0.079066,0.013762
66,0.0008238,0.079066,0.013762
67,0.000892,0.0979702,0.018024
68,0.000892,0.0979702,0.018024
69,0.000855,0.0957964,0.020843
70,0.000855,0.0957964,0.020843
71,0.0009567,0.1038458,0.020653
72,0.0009567,0.1038458,0.020653
73,0.0009567,0.1038458,0.020653
74,0.0009567,0.1038458,0.020653
75,0.0009567,0.1038458,0.020653
76,0.0009567,0.1038458,0.020653
77,0.0009567,0.1038458,0.020653
78,0.0009567,0.1038458,0.020653
79,0.0009567,0.1038458,0.020653
80,0.0009567,0.1038458,0.020653
81,0.0009567,0.1038458,0.020653
82,0.0009567,0.1038458,0.020653
83,0.0009567,0.1038458,0.020653
84,0.0009567,0.1038458,0.020653
85,0.0009567,0.1038458,0.020653
86,0.0009567,0.1038458,0.020653
87,0.0009567,0.1038458,0.020653
88,0.0009567,0.1038458,0.020653
89,0.0009567,0.1038458,0.020653
90,0.0009567,0.1038458,0.020653
91,0.0009567,0.1038458,0.020653
92,0.0009567,0.1038458,0.020653
93,0.0009567,0.1038458,0.020653
94,0.0009567,0.1038458,0.020653
95,0.0009567,0.1038458,0.020653
96,0.0009567,0.1038458,0.020653
97,0.0009567,0.1038458,0.020653
98,0.0003604,0.0328767,0.01162
99,0.0003604,0.0328767,0.01162
100,0.0003604,0.0328767,0.01162
101,0.0003604,0.0328767,0.01162
102,0.0003604,0.0328767,0.01162
103,0.0003604,0.0328767,0.01162
104,0.0003604,0.0328767,0.01162
105,0.0003604,0.0328767,0.01162
106,0.0003604,0.0328767,0.01162
107,0.0003604,0.0328767,0.01162
108,0.0003604,0.0328767,0.01162
