species_index,estab_ref_age
1,20
2,10
3,15
4,20
5,15
6,20
7,20
8,20
9,5
10,20
11,15
12,20
13,20
14,10
15,20
16,20
17,20
18,20
19,20
20,10
21,10
22,15
23,20
24,15
25,10
26,20
27,20
28,20
29,20
30,20
31,20
32,20
33,20
34,20
35,20
36,20
37,20
38,20
39,20
40,20
41,20
42,20
43,20
44,35
45,35
46,20
47,10
48,20
49,20
50,20
51,10
52,20
53,15
54,20
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,30
63,10
64,10
65,30
66,30
67,20
68,10
69,10
70,20
71,10
72,10
73,10
74,20
75,10
76,10
77,10
78,20
79,20
80,10
81,25
82,25
83,10
84,25
85,25
86,10
87,10
88,20
89,10
90,10
91,10
92,10
93,20
94,20
95,20
96,20
97,20
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
