mcr_eqn,mcr_a,mcr_c,mcr_b,mcr_b2,mcr_b3,wb_a,wb_b0,wb_b1,wb_c
3.0,63.51,-0.09,0.0,0.0,0.0,4.0659,-6.8708,1.051,4.1741
3.0,67.64,-2.25,0.0,0.0,0.0,2.4435,-32.4837,1.6503,2.6518
3.0,63.51,-0.09,0.0,0.0,0.0,4.0659,-6.8708,1.051,4.1741
4.0,54.0462,0.0,0.0,-18.2118,0.0,4.378,-5.0254,0.962,2.4758
4.0,47.7297,0.0,0.0,-16.352,0.0,4.6721,-3.9456,1.0509,3.0228
4.0,42.8255,0.0,0.0,-15.0135,0.0,3.894,-4.7342,0.9786,2.9082
2.0,4.17,0.0,-0.23,0.0,0.0,5.0,-10.1125,1.0734,3.3218
4.0,42.84,0.0,0.0,-5.62,0.0,3.9771,14.3941,0.5189,3.7531
4.0,45.8231,0.0,0.0,-13.8999,0.0,3.919,1.2933,0.7986,2.9202
1.0,4.3546,0.0163,-0.5034,0.0,0.0,3.919,1.2933,0.7986,2.9202
1.0,3.8904,0.0478,-0.3565,0.0,0.0,4.33,-34.2606,1.7823,3.0554
3.0,51.8,-0.8,0.0,0.0,0.0,4.6496,-11.4277,1.1343,2.9405
1.0,3.8284,0.0172,-0.2234,0.0,0.0,4.9701,-14.668,1.3196,2.8517
1.0,4.1136,0.007,-0.331,0.0,0.0,5.0,-10.2832,1.1019,2.4693
4.0,48.2413,0.0,0.0,-10.1014,0.0,5.0,-9.8322,1.1062,2.8512
4.0,36.0855,0.0,0.0,-5.4737,0.0,4.9986,-9.6939,1.074,2.3667
3.0,63.51,-0.09,0.0,0.0,0.0,4.0659,-6.8708,1.051,4.1741
4.0,53.1867,0.0,0.0,-9.4122,0.0,5.0,-18.634,1.2622,3.6407
4.0,61.9643,0.0,0.0,-22.3363,0.0,5.0,-18.634,1.2622,3.6407
4.0,46.1653,0.0,0.0,-6.088,0.0,4.7322,-24.274,1.4587,2.9951
3.0,42.98,0.55,0.0,0.0,0.0,5.0,-18.634,1.2622,3.6407
3.0,48.2,-0.01,0.0,0.0,0.0,4.6903,-19.5613,1.2928,3.3715
3.0,42.13,-0.1,0.0,0.0,0.0,5.0,-18.634,1.2622,3.6407
1.0,3.7275,0.0282,-0.1124,0.0,0.0,4.1939,1.25,0.8795,3.15
1.0,3.8785,0.0171,-0.1749,0.0,0.0,4.1939,1.25,0.8795,3.15
1.0,3.9904,0.0171,-0.1496,0.0,0.0,4.564,0.9693,0.9093,3.054
1.0,3.9939,0.0238,-0.2117,0.0,0.0,5.0,-29.1096,1.5626,3.531
4.0,48.03,0.0,0.0,-13.21,0.0,4.8371,-14.318,1.206,3.7345
4.0,50.8266,0.0,0.0,-14.5261,0.0,4.5671,-49.1736,2.1311,2.9883
4.0,44.5839,0.0,0.0,-14.0874,0.0,5.0,15.0407,0.6546,3.0344
4.0,51.8467,0.0,0.0,-14.1876,0.0,4.7093,-9.6999,1.102,2.7391
1.0,3.8415,0.0297,-0.2879,0.0,0.0,4.7093,-9.6999,1.102,2.7391
4.0,59.09,0.0,0.0,-4.99,0.0,4.6965,-14.3809,1.2016,3.5571
3.0,38.26,-0.77,0.0,0.0,0.0,4.0098,-12.7054,1.2224,2.74
1.0,3.7881,-0.0055,-0.0634,0.0,0.0,4.8776,-11.6617,1.1668,3.8475
3.0,35.49,0.0,0.0,0.0,0.0,4.0098,-12.7054,1.2224,2.74
3.0,35.49,0.0,0.0,0.0,0.0,4.5987,-16.9647,1.3925,3.3601
2.0,3.82,0.0,-0.1,0.0,0.0,4.9245,-13.3135,1.2765,2.8455
3.0,37.83,-0.15,0.0,0.0,0.0,4.1992,-16.8789,1.2949,2.7697
1.0,4.4653,0.107,-0.834,0.0,0.0,4.7093,-9.6999,1.102,2.7391
3.0,52.05,-0.11,0.0,0.0,0.0,4.6965,-14.3809,1.2016,3.5571
2.0,3.91,0.0,-0.12,0.0,0.0,4.2967,-17.7977,1.3186,3.0386
2.0,3.91,0.0,-0.12,0.0,0.0,4.2967,-17.7977,1.3186,3.0386
1.0,3.8153,0.0055,-0.0964,0.0,0.0,4.635,-39.7348,1.9132,3.0574
2.0,3.87,0.0,-0.07,0.0,0.0,4.9948,-11.109,1.1089,3.8822
3.0,44.71,0.4,0.0,0.0,0.0,5.0,9.252,0.7899,3.2166
3.0,42.15,-0.11,0.0,0.0,0.0,4.9829,-5.2479,0.9552,3.8219
3.0,44.71,0.4,0.0,0.0,0.0,5.0,9.252,0.7899,3.2166
3.0,36.5,-0.23,0.0,0.0,0.0,4.2299,-32.497,1.7316,2.7902
3.0,44.71,0.4,0.0,0.0,0.0,5.0,9.252,0.7899,3.2166
3.0,55.48,-2.38,0.0,0.0,0.0,4.2932,-7.1512,1.0504,2.7738
3.0,42.32,-1.08,0.0,0.0,0.0,4.8677,-22.5591,1.424,2.8686
3.0,36.02,-0.3,0.0,0.0,0.0,5.0,-15.1643,1.2524,3.1645
3.0,41.01,-0.21,0.0,0.0,0.0,4.6134,-42.697,1.9983,3.0081
3.0,41.379,-0.8012,0.0,0.0,0.0,4.8257,-7.1092,1.0128,2.7232
4.0,52.7207,0.0,0.0,-11.484,0.0,5.0,15.0407,0.6546,3.0344
3.0,38.71,-0.1,0.0,0.0,0.0,4.8677,-22.5591,1.424,2.8686
3.0,38.03,-0.09,0.0,0.0,0.0,3.5122,22.2798,0.3081,2.7868
1.0,3.9839,-0.0248,-0.0462,0.0,0.0,4.564,-30.7592,1.6192,3.2836
4.0,48.03,0.0,0.0,-13.21,0.0,4.8371,-14.318,1.206,3.7345
4.0,48.03,0.0,0.0,-13.21,0.0,4.8371,-14.318,1.206,3.7345
3.0,45.06,-0.96,0.0,0.0,0.0,4.2932,-7.1512,1.0504,2.7738
2.0,4.05,0.0,-0.12,0.0,0.0,5.0,-16.0927,1.2319,3.5016
4.0,51.7,0.0,0.0,-9.65,0.0,5.0,-4.6551,0.9593,3.834
2.0,3.92,0.0,-0.09,0.0,0.0,5.0,-26.7842,1.603,3.516
1.0,3.9112,0.0147,-0.1697,0.0,0.0,5.0,-4.2993,1.0761,3.5922
2.0,3.95,0.0,-0.02,0.0,0.0,4.1406,13.695,0.6895,3.0427
4.0,54.36,0.0,0.0,-11.3181,0.0,4.6329,-1.2977,0.9438,3.2263
4.0,57.82,0.0,0.0,-18.45,0.0,5.0,11.2401,0.7081,3.5258
4.0,56.42,0.0,0.0,-14.13,0.0,4.1406,13.695,0.6895,3.0427
1.0,3.9344,0.0043,-0.0845,0.0,0.0,4.4764,-18.7445,1.3539,3.8384
1.0,4.1233,-0.0142,-0.1279,0.0,0.0,5.0,-7.5332,1.0257,3.1662
1.0,3.9116,0.0509,-0.2657,0.0,0.0,5.0,-50.1177,2.1127,3.5148
4.0,54.53,0.0,0.0,-14.7,0.0,5.0,-9.7922,1.0728,3.634
2.0,3.9,0.0,-0.07,0.0,0.0,5.0,-12.4107,1.1363,3.643
3.0,46.72,-0.85,0.0,0.0,0.0,5.0,5.0414,0.8032,3.6764
4.0,44.34,0.0,0.0,-5.23,0.0,4.7585,-83.4596,3.0817,3.4788
2.0,4.17,0.0,-0.18,0.0,0.0,5.0,-6.5883,1.0266,3.5587
3.0,49.27,-0.72,0.0,0.0,0.0,5.0,11.2401,0.7081,3.5258
4.0,49.022,0.0,0.0,-22.5732,0.0,3.5643,-10.5101,1.2176,2.2033
3.0,44.5295,-1.0053,0.0,0.0,0.0,4.8547,-17.1135,1.3108,3.2431
3.0,38.85,-0.99,0.0,0.0,0.0,4.9082,-11.2413,1.1519,2.4971
5.0,0.0283,0.0,0.0,0.0,-0.012,4.2656,-26.6773,1.558,4.4024
2.0,3.68,0.0,-0.02,0.0,0.0,5.0,1.1421,0.9141,3.0621
4.0,43.64,0.0,0.0,-10.03,0.0,4.9367,7.6678,0.9105,3.0303
1.0,3.7366,0.0151,-0.0896,0.0,0.0,5.0,1.1421,0.9141,3.0621
1.0,3.8487,0.0276,-0.2005,0.0,0.0,4.7375,-21.881,1.534,3.3558
3.0,67.64,-2.25,0.0,0.0,0.0,2.4435,-32.4837,1.6503,2.6518
1.0,3.78,-0.02,-0.02,0.0,0.0,4.1374,17.2956,0.4987,2.267
2.0,3.93,0.0,-0.15,0.0,0.0,4.9041,-2.5097,0.9225,2.7628
