species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum
1,8,20.6,5,8.0,4,2,30
2,14,27.4,1,5.0,2,3,17
3,9,23.1,5,8.0,4,2,13
4,3,28.7,6,2.0,1,1,14
5,3,29.3,6,4.0,1,1,16
6,3,33.7,6,2.0,1,1,31
7,3,25.6,6,2.0,1,1,14
8,3,33.7,6,2.0,1,1,28
9,3,28.1,6,3.0,1,1,19
10,3,29.3,6,2.0,1,1,24
11,3,31.8,6,2.0,1,1,35
12,5,21.2,6,2.0,1,1,24
13,3,29.3,6,3.0,1,1,30
14,3,28.1,6,3.0,1,1,12
15,14,26.2,1,1.0,3,3,4
16,14,26.2,1,1.0,3,3,21
17,12,23.7,5,4.0,4,2,18
18,26,34.9,5,1.0,4,2,8
19,50,30.6,5,1.0,4,2,13
20,19,30.6,5,1.0,4,2,7
21,18,27.4,5,1.0,4,2,10
22,26,34.9,5,1.0,4,2,12
23,44,34.9,5,1.0,4,2,15
24,24,34.3,5,1.0,4,1,12
25,24,37.4,5,1.0,4,1,9
26,53,34.9,4,1.0,3,2,9
27,39,39.9,2,1.0,4,3,19
28,44,34.9,4,1.0,2,2,16
29,55,30.6,4,1.0,4,2,15
30,44,34.9,5,1.0,3,2,14
31,56,34.9,5,1.0,3,2,20
32,44,34.9,4,1.0,2,3,20
33,28,34.9,4,1.0,4,2,4
34,16,33.1,5,1.0,4,2,21
35,29,34.3,5,1.0,4,2,21
36,15,28.1,5,1.0,4,2,14
37,16,33.1,5,1.0,4,2,18
38,44,37.4,2,1.0,2,3,17
39,44,34.9,5,1.0,4,2,17
40,44,34.9,5,1.0,4,2,17
41,44,34.9,4,3.0,3,2,21
42,45,22.5,4,1.0,4,2,20
43,46,31.8,4,1.0,2,2,20
44,44,28.7,5,1.0,4,2,15
45,44,24.9,4,1.0,4,2,20
46,44,27.4,4,1.0,4,2,18
47,44,27.4,4,1.0,4,2,15
48,44,28.7,4,2.0,4,2,12
49,44,27.4,4,1.0,4,2,19
50,44,27.4,4,1.0,4,2,12
51,58,34.9,4,1.0,3,2,22
52,58,34.9,5,1.0,2,2,17
53,59,28.7,3,1.0,2,3,9
54,59,28.7,3,1.0,2,3,18
55,59,28.7,3,1.0,2,3,16
56,47,34.9,4,1.0,3,2,16
57,44,34.9,5,1.0,4,2,15
58,44,34.9,5,1.0,4,2,17
59,60,28.7,5,1.0,4,2,12
60,17,23.1,5,1.0,4,1,19
61,40,22.5,5,1.0,4,1,18
62,20,29.3,4,1.0,2,2,9
63,30,37.4,3,1.0,2,3,19
64,34,37.4,4,1.0,3,2,19
65,34,32.4,4,1.0,3,2,23
66,34,38.0,4,1.0,3,2,23
67,34,34.9,4,1.0,3,2,16
68,34,34.9,4,1.0,3,2,15
69,30,35.6,3,1.0,3,2,18
70,34,34.9,2,1.0,2,3,16
71,30,37.4,3,1.0,3,2,25
72,33,37.4,3,1.0,2,3,21
73,34,34.9,3,1.0,2,3,15
74,30,35.6,3,1.0,3,2,28
75,34,34.9,4,1.0,3,2,21
76,34,34.9,4,1.0,3,2,16
77,30,37.4,3,1.0,2,3,23
78,35,34.9,4,1.0,3,2,24
79,30,49.9,5,1.0,2,2,22
80,48,41.2,2,1.0,2,3,28
81,64,22.5,6,1.0,4,1,19
82,67,26.2,4,1.0,2,2,14
83,25,20.0,5,1.0,4,1,17
84,22,28.7,5,1.0,4,1,18
85,22,28.7,5,1.0,4,1,10
86,21,28.7,5,1.0,4,1,10
87,22,29.9,5,1.0,4,1,11
88,14,27.4,5,2.0,1,1,17
89,44,34.9,5,1.0,4,2,24
90,44,34.9,5,1.0,4,2,24
