plot,id,tpa,history,species,dbh,diam_growth,height,top_height,ht_growth,crown_pct,damage1,damage2,damage3,damage4,damage5,damage6,mort_code,cut_code,pest1,pest2,pest3,pest4,pest5,birth_age
1,1,17.36,6,110,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,11.161,6,110,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,32.546,6,110,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,99.954,1,491,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,99.954,1,491,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,99.954,1,491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,18.592,6,110,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,99.954,6,110,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,50.854,1,491,5.2,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,99.954,1,491,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,99.954,1,491,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,99.954,1,491,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3.178,6,68,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,21.486,6,110,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,28.063,6,110,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,99.954,6,110,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,99.954,1,491,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,99.954,1,491,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,99.954,1,491,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,99.954,1,491,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,99.954,1,491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,25.804,6,110,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,22.033,6,110,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,33.571,1,621,6.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,38.197,6,521,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
